cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1504.B.22	Col. 2:14	1		0	1	L	0			0			0		1	0	0	0	1	O1	NA28.617	
1504.B.8	Col. 2:12			1	0		0			0			0		0	0	0	0	0			
1504.C.15	Col. 2:20-21	1		0	1	L	0			0			0		0	0	1	0	0			
1504.C.18	Col. 2:22			1	0		0			0			0		1	0	0	0	0			
1505.B.1	Col. 3:14			1	0		0			0			0		0	0	0	0	0			
1505.B.11	Col. 3:16			1	0		0			0			0		0	0	0	0	0			
1505.B.2	Col. 3:14	1		0	1	L	0			0			0		0	0	0	0	1	R1	NA28.618	
1505.B.26	Col. 3:18-19	1	0	0	1	L	1	4.5	2	0			0		1	0	1	0	0			evaluated by Payne
1505.B.30	Col. 3:20			1	0		0			0			0		0	0	0	0	0			
1505.B.33	Col. 3:20b	0	0	1	1	L	1	3.5	2	0			0		1	0	0	0	1	R1	NA28.619	evaluated by Payne
1505.B.9	Col. 3:15-16		1	0	0		1	4.5	2.5	0			0		1	M	1	0	0			
1505.C.1	Col. 3:22	1		0	1	R	0			0			0		1	0	0	0	1	R1	NA28.620	
1505.C.37	Col. 4:7	1		0	1	R	0			0			0		0	0	0	0	0			
1506.A.35	Col. 4:13		1	0	0		1	4	3	0			0		1	0	0	0	0			
1506.A.7	Col. 4:9b	1		0	1	L	0			0			0		0	0	0	0	0			
1506.C.26	1 Thes. 1:5			1	0		0			0			0		0	0	0	0	0			
1506.C.27	1 Thes. 1:5b			1	0		0			0			0		0	0	0	0	1	A1	NA28.622	
1506.C.41	1 Thes. 1:7-8			1	0		0			0			0		1	0	1	0	0			
1506.C.6	1 Thes. 1:1-2	1		0	1	L	0			0			0		1	1	1	0	1	A8	NA28.622	
1506.C.7	1 Thes. 1:2			1	0		0			0			0		0	0	0	0	0			
1507.A.25	1 Thes. 2:2	1		0	1	L	0			0			0		0	0	1	0	0			
1507.B.13	1 Thes. 2:7	1		0	1	L	0			0			0		0	0	0	0	1	R1	NA28.623	
1507.C.10	1 Thes. 2:13	1		0	1	R	0			0			0		0	0	0	0	0			
1507.C.28	1 Thes. 2:15			1	0		0			0			0		1	0	0	0	0			
1507.C.36	1 Thes. 2:16	1		0	1	R	0			0			0		0	0	0	0	1	MC	NA28.624	
1507.C.5	1 Thes. 2:12-13		1	0	0		1	4.5	1.5	0			0		1	1	1	0	1	O1	NA28.624	
1508.B.2	1 Thes. 3:6			1	0		0			0			0		1	0	0	0	0			
